Native_range_marine_province,no._species
Cold Temperate Northwest Atlantic,7
Cold Temperate Northeast Pacific,5
Cold Temperate Northwest Pacific,9
Arctic,3
Bay of Bengal ,2
Black Sea,1
Eastern Coral Triangle ,1
Hawaii,2
Lusitanian,1
Magellanic,1
Mediterranean Sea,2
North Brazil Shelf ,2
Northern European Seas,3
Red Sea and Gulf of Aden ,1
Somali/Arabian ,2
South China Sea,6
Southwest Australian Shelf,1
Sunda Shelf ,1
Tropical East Pacific,2
Tropical Northwestern Atlantic,7
Tropical Northwestern Pacific,3
Tropical Southwestern Atlantic,1
Warm Temperate Northeast Pacific,2
Warm Temperate Northwest Atlantic,6
Warm Temperate Northwest Pacific,9
Warm Temperate Southwestern Atlantic,1
West and South Indian Shelf ,2
West Central Australian Shelf,1
Western Coral Triangle ,1
Western Indian Ocean ,2