Invaded_range_Marine_province,no._invaders
Caspian Sea,3
Agulhas,3
Andaman,1
Arctic,7
Benguela,3
Black Sea,10
Central Polynesia,1
Cold Temperate Northeast Pacific,11
Cold Temperate Northwest Atlantic,7
Cold Temperate Northwest Pacific,2
East Central Australian Shelf,7
Eastern Coral Triangle,1
Hawaii,4
Lusitanian,12
Magellanic,2
Mediterranean Sea,17
Northern European Seas,17
Northern New Zealand,5
Northwest Australian Shelf,1
Sahul Shelf,1
Somali/Arabian,2
South China Sea,3
Southeast Australian Shelf,10
Southern New Zealand,5
Southwest Australian Shelf,8
Sunda Shelf,2
Tropical East Pacific,5
Tropical Northwestern Atlantic,6
Tropical Northwestern Pacific,2
Tropical Northwestern Pacific,1
Warm Temperate Northeast Pacific,7
Warm Temperate Northwest Atlantic,6
Warm Temperate Northwest Pacific,5
Warm Temperate Southeastern Pacific,3
Warm Temperate Southwestern Atlantic,4
West Central Australian Shelf,8
Western Coral Triangle,1
Western Indian Ocean,1